trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-198.77647958481765,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-218.54689597746622,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-70.7543514120942,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-151.62257721328768,"{0: 16, 1: 1, 2: 11, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-91.84884175586853,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-74.59102456190277,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,1,-33.39970773125608,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-21.462938823728546,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-84.91786018813596,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,12,-42.242166694637845,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,10,-7.950274749689719,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,13.275780327803364,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-11.861139750862408,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,9,-7.856366751124857,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,7,-2.4030846331258005,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,8,14.46735463859517,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,3.4495692281045804,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,10,28.395863816906505,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,5,23.605300530805675,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,11,23.285323811825513,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,24.975707175016574,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,8,26.73945779981308,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,20,8.637975694336962,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,19,-3.6697935125361054,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,24.431821921399774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,16.049766082670995,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",20,0,-28.57062560900969,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,6,23.17595373929571,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,7,20.757153240203934,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,11,11.59467204318306,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
