trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,19,-16.398456872984337,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9607894391523232}",30,0,-160.95442115895352,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-124.00388938107265,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,11,-38.25398398944037,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,20,-45.51334739316073,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-163.2890255467752,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-122.59176060140443,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,10,-63.565525870854415,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.835270211411272}",30,0,-203.5263657969591,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-76.32300100393559,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8025187979624785}",35,0,-122.43249830878496,"{0: 28, 1: 0, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-143.2761360357022,"{0: 10, 1: 3, 2: 2, 3: 4, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7710515858035663}",35,0,-105.38674072750129,"{0: 23, 1: 3, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-73.56467958967899,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-72.58881209987003,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,4,-117.39120856433067,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-64.78310469448847,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-77.66200584797201,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,0,-154.40296617353246,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,20,7.205557010942928,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,11,-24.811695704327537,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,12,-2.0810249736649404,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.631283645506926}",20,11,-5.448502628571273,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,11,-57.84080722682071,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,9,-4.454387231693644,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.5945205479701944}",25,0,-119.06190014774288,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.5827482523739896}",35,11,-119.92163131040198,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.5712090638488149}",30,18,-47.395890306833294,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.559898366565402}",35,9,-23.23239490472762,"{0: 22, 1: 0, 2: 2, 3: 2, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.5488116360940264}",25,11,-9.149770232555488,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,19,-0.44788880350628624,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,9,-25.973688882168258,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,0,-59.80699813131893,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,0,-41.19660901887339,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,6,-14.691473215316519,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,13,-52.6753914207877,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,0,-9.265866379005248,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,0,-60.46897148517747,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,0,-60.08387043377817,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,19,12.045142007871881,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44043165450599925}",25,0,-0.5905906382639108,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.43171052342907973}",30,0,-118.67898106695142,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,9,-59.39320363346342,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.4147829116815814}",25,13,-10.514907910734028,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,0,-125.20200252320011,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,8,21.535562286337885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,4,4.4573731597804125,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,9,-27.993923952267842,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 1}",1
