trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,2,-114.60985621165818,"{0: 18, 1: 1, 2: 5, 3: 4, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",30,13,-32.5870567154725,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.49897135939852,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.48459889487853,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.15925312676137,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.28568077353442,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-87.95018243141436,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-71.50819219327407,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.77990403681235,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.50318747695212,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.38639093703009,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.56249916181142,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.25597060267344,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.50993416691857,"{0: 20, 1: 0, 2: 8, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-252.02318442487305,"{0: 7, 1: 2, 2: 5, 3: 2, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-87.0400421340819,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.2725523342954,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,2,-52.79546259310198,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-205.53935541450105,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-222.42393351803574,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-167.3934043848866,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-83.36869891867076,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-200.35196496823426,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.55391534190716,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.6012852179466,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.01816733038993,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-115.78064376875119,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,4,-194.2527977294229,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 3}",1
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-117.29639882782243,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-242.39644095724793,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 4}",0
