trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-241.88484433744856,"{0: 11, 1: 7, 2: 8, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.25656753112142,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.443028469412944,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.53228272756007,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.11321749529624,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,16,5.6039062325234195,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.90607895107922,"{0: 13, 1: 6, 2: 8, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.44316703971899,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,4,-131.831689440932,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.16269584241678,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,5,-130.29264990663654,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.02124849587669,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.9933163583261,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.90010879633533,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.37693816852203,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,6,-43.77430124053401,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.7734180928496,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.9821956340556,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.81136351062293,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.01492808552936,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.39871924421385,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-246.2956457084198,"{0: 14, 1: 7, 2: 3, 3: 2, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.50131256219002,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,11,-39.951824459371174,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-160.5244767091702,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,1,-129.17317890175656,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 1}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-39.73732900920076,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-161.13834632349972,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.11731600392528,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,4,-149.46658901849048,"{0: 6, 1: 3, 2: 4, 3: 1, 4: 2}",1
